date,prices $,from_country,to_country,departure_date,return_date
2023-01-02,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-03,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-04,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-05,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-06,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-07,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-08,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-09,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-10,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-11,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-12,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-13,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-14,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-15,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-16,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-17,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-18,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-20,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-21,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-22,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-23,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-24,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-25,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-26,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-27,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-28,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-29,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-30,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-01-31,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-01,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-02,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-03,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-04,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-05,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-06,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-07,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-08,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-09,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-10,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-11,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-12,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-13,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-02-14,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-20,70.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-21,70.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-22,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-23,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-24,65.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-25,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-26,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-27,70.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-28,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-29,65.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-30,114.0,AQP,LIM,2023-07-20,2023-07-23
2023-07-31,81.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-01,70.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-02,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-03,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-04,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-05,65.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-06,70.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-07,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-08,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-09,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-10,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-11,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-12,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-13,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-14,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-15,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-16,60.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-17,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-18,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-19,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-20,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-21,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-22,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-23,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-24,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-25,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-26,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-27,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-28,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-29,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-30,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-08-31,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-01,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-02,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-03,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-04,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-05,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-06,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-07,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-08,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-09,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-10,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-11,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-12,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-13,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-14,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-15,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-16,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-17,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-18,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-20,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-21,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-22,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-23,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-24,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-25,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-26,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-27,40.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-28,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-29,145.0,AQP,LIM,2023-07-20,2023-07-23
2023-09-30,145.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-01,145.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-02,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-03,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-04,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-05,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-06,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-07,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-08,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-09,52.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-10,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-11,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-12,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-13,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-14,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-15,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-16,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-17,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-18,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-19,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-20,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-21,35.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-22,46.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-23,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-24,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-25,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-26,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-27,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-28,32.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-29,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-30,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-10-31,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-01,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-02,30.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-03,28.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-04,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-05,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-06,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-07,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-08,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-09,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-10,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-11,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-12,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-13,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-14,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-15,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-16,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-17,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-18,17.0,AQP,LIM,2023-07-20,2023-07-23
2023-11-19,17.0,AQP,LIM,2023-07-20,2023-07-23
