date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-22,79.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,79.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,56.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,56.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,79.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,114.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,66.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,79.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,94.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,48.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,48.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,56.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,56.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-26,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-29,48.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-01,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-02,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-03,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-04,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-05,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-06,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-07,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-08,34.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-09,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-10,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-11,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-12,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-13,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-14,150.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-15,42.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-16,42.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-17,42.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-18,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-19,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-20,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-21,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-22,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-23,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-24,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-25,42.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-26,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-27,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-28,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-29,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-30,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-01,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-03,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-04,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-05,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-06,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-07,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-08,36.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-10,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-11,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-12,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-13,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-14,27.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-15,66.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-17,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-18,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-19,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-20,25.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-21,42.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-22,31.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-24,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-25,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-26,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-27,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-28,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-29,12.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-31,23.0,AYP,LIM,2023-07-20,2023-07-23,Skyairline
