date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-20,72.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-21,76.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,87.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,66.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,57.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,49.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,57.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,57.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,42.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,42.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,87.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,87.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,66.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,49.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,57.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,49.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,57.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,66.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,57.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,32.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,32.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,26.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,28.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,26.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,42.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,28.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,15.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,26.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,15.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,15.0,CIX,LIM,2023-07-20,2023-07-23,Skyairline
