date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-21,84.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,84.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,60.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,42.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,36.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,36.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,42.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,36.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,42.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,119.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,110.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,84.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,71.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,84.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,84.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,84.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,110.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,71.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,42.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,42.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,32.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,32.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,36.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,60.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,36.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,26.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,24.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,26.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,50.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,24.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,36.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,26.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,15.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,15.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,15.0,CJA,LIM,2023-07-20,2023-07-23,Skyairline
