date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-20,145.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-21,61.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,70.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,97.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,82.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,70.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,68.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,82.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,70.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,97.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,82.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,70.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,68.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,61.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,68.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,68.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,61.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,61.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,61.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,68.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-25,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-26,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-27,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-28,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-29,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-01,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-02,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-03,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-04,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-05,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-06,32.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-07,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-08,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-09,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-10,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-11,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-12,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-13,32.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-14,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-15,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-16,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-17,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-18,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-19,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-20,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-21,53.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-22,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-23,61.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-24,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-25,46.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-26,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-27,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-28,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-29,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-30,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-01,40.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
2023-10-02,35.0,CUZ,LIM,2023-07-20,2023-07-23,Skyairline
