date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-21,145.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,115.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,96.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,96.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,82.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,96.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,82.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,70.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,70.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,96.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,82.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,60.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,49.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,49.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,52.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,52.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,52.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,46.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,40.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,40.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-25,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-26,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-27,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-28,49.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-29,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-01,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-02,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-03,40.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-04,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-05,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-06,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-07,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-08,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-09,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-10,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-11,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-12,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-13,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-14,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-15,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-16,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-17,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-18,28.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-19,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-20,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-21,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-22,30.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-23,36.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-24,17.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-25,46.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-26,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-27,32.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-28,17.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-29,40.0,IQT,LIM,2023-07-20,2023-07-23,Skyairline
