date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-21,50.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,79.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,47.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,37.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,37.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,37.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,24.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,112.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,79.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,79.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,112.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,50.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,58.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,93.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,58.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,50.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,50.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,37.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,50.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,37.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,27.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,11.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-25,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-26,27.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-27,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-28,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-01,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-02,27.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-03,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-04,27.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-05,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-06,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-07,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-08,11.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-09,24.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-10,47.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-11,43.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-12,47.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-13,32.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-14,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-15,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-16,9.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-17,27.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-18,27.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-19,22.0,JAU,LIM,2023-07-20,2023-07-23,Skyairline
