date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-21,85.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,64.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,85.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,64.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,64.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,47.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,55.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,43.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,47.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,119.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,64.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,64.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,43.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,47.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,55.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,64.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,100.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,47.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,34.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,34.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,29.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,26.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,34.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,43.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,26.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,29.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,24.0,PCL,LIM,2023-07-20,2023-07-23,Skyairline
