date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-20,116.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-21,97.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,97.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,70.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,70.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,60.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,82.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,70.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,45.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,45.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,145.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,145.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,82.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,70.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,82.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,52.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,52.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,70.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,52.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,35.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,42.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,39.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,31.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-25,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-26,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-27,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-28,35.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-29,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-01,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-02,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-03,31.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-04,35.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-05,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-06,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-07,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-08,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-09,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-10,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-11,39.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-12,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-13,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-14,16.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-15,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-16,27.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-17,29.0,PIU,LIM,2023-07-20,2023-07-23,Skyairline
