date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-23,105.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,46.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,46.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,70.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,91.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,70.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,79.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,150.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,91.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,61.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,61.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,53.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,79.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,150.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,91.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,61.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,46.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,40.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,35.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,40.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,40.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,50.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,50.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-25,17.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-26,32.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-27,35.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-28,46.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-29,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,35.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-01,29.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
2023-09-02,32.0,TBP,LIM,2023-07-20,2023-07-23,Skyairline
