date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-20,145.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-21,145.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-22,83.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,97.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,61.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,53.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,61.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,53.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,36.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-29,32.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,116.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,61.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,46.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,41.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,32.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,32.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-05,36.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,53.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-09,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,53.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-12,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,41.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-15,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-17,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,29.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-19,29.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,32.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-22,15.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-24,27.0,TRU,LIM,2023-07-20,2023-07-23,Skyairline
