date,prices $,from_country,to_country,departure_date,return_date,website
2023-07-20,36.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-21,70.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-23,53.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-24,36.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-25,30.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-26,30.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-27,44.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-28,33.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-30,96.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-07-31,115.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-01,96.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-02,70.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-03,70.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-04,82.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-06,145.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-07,53.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-08,47.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-10,30.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-11,30.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-13,96.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-14,44.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-16,28.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-18,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-20,41.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-21,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-23,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-25,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-27,30.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-28,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-30,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
2023-08-31,16.0,TYL,LIM,2023-07-20,2023-07-23,Skyairline
